feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,label
0.612,0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044
0.592,0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116
0.036,0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308
0.47,1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45
1.23,0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706
0.766,0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226
0.398,0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686
0.386,0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218
0.966,0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898
0.21,0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096
0.048,0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066
0.03,0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03
0.034,0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026
0.024,0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024
0.024,0.026,2.384,1.916,0.666,0.314,0.18,0.038,0.348,0.18,0.044,0.116,0.308,2.45,0.706,0.226,0.686,0.218,1.898,2.096,0.066,0.03,0.026,0.024,0.028
