feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23
0.128,0.092,0.05,0.044,0.028,0.028,0.026,0.028,0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02
0.092,0.05,0.044,0.028,0.028,0.026,0.028,0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136
0.05,0.044,0.028,0.028,0.026,0.028,0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888
0.044,0.028,0.028,0.026,0.028,0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344
0.028,0.028,0.026,0.028,0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038
0.028,0.026,0.028,0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028
0.026,0.028,0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032
0.028,0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038
0.622,1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026
1.692,1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268
1.198,0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026
0.642,2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888
2.072,0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326
0.83,1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202
1.242,2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71
2.126,1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77
1.616,1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348
1.4,0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66
0.578,0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308
0.178,0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368
0.038,0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01
0.02,0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374
0.022,0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754
0.02,0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32
0.136,1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102
1.888,0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008
0.344,0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006
0.038,0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01
0.028,0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004
0.032,0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006
0.038,0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008
0.026,0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006
0.268,0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008
0.026,0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042
0.888,1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74
1.326,3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608
3.202,1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55
1.71,0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412
0.77,1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798
1.348,1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6
1.66,1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636
1.308,0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43
0.368,2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32
2.01,0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484
0.374,1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166
1.754,0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18
0.32,0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894
0.102,0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314
0.008,0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95
0.006,0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218
0.01,0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182
0.004,0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014
0.006,0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008
0.008,0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01
0.006,0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008
0.008,0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014
0.042,0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152
0.74,0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032
0.608,0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03
0.55,0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922
0.412,1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842
1.798,0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52
0.6,0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05
0.636,2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412
2.43,1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824
1.32,0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68
0.484,0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706
0.166,0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036
0.18,0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02
0.894,1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022
1.314,1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02
1.95,0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02
0.218,0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024
0.182,0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88
0.014,0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052
0.008,0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024
0.01,0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034
0.008,0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024
0.014,2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196
2.152,0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024
0.032,0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032
0.03,0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722
0.922,0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857
0.842,1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992
1.52,2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886
2.05,2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628
2.412,0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672
0.824,1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142
1.68,0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124
0.706,0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11
0.036,0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946
0.02,0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558
0.022,0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042
0.02,0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03
0.02,0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03
0.024,0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024
0.88,1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024
1.052,0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652
0.024,0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128
0.034,0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258
0.024,0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042
0.196,0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03
0.024,0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028
0.032,2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178
2.722,2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818
2.857,2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802
2.992,0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416
0.886,0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214
0.628,0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658
0.672,0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19
0.142,0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252
0.124,0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214
0.11,0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116
0.946,2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046
2.558,0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13
0.042,0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834
0.03,0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162
0.03,0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442
0.024,0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598
0.024,2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224
2.652,0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368
0.128,0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864
0.258,0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068
0.042,0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036
0.03,0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046
0.028,0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032
0.178,0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044
0.818,0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03
0.802,0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044
0.416,1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544
1.214,0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088
0.658,0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872
0.19,0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966
0.252,0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412
0.214,1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422
1.116,1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586
1.046,0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586,0.948
0.13,0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586,0.948,0.38
0.834,2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586,0.948,0.38,0.828
2.162,0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586,0.948,0.38,0.828,0.342
0.442,0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586,0.948,0.38,0.828,0.342,1.488
0.598,3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586,0.948,0.38,0.828,0.342,1.488,1.466
3.224,2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586,0.948,0.38,0.828,0.342,1.488,1.466,1.42
2.368,0.864,0.068,0.036,0.046,0.032,0.044,0.03,0.044,0.544,2.088,0.872,1.966,1.412,1.422,0.586,0.948,0.38,0.828,0.342,1.488,1.466,1.42,0.378
